Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Bahamas, The",BHS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,2.273789132,4.403927073,-0.132148006,0.842252954,0.307047106,2.411496673,0.17740607,-0.346260388,-0.240066631,-1.301331551,-0.533872599,0.39793664,1.302388303,0.829523187,-0.546430828,-0.041785058,0.009649405,0.876455369,0.71801166,3.114610674,2.432806872,4.232916001,2.743986951,2.48007798,3.954926012,1.570898917,2.195890886,2.736959618,3.856555856,7.311166224,8.867895251,8.574953035,10.42992842,8.490537084,11.02364096,8.448935361,4.908082645,3.580077174,2.317245143,0.676832071,0.65463397,
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.621115881,3.772744154,2.653033477,2.061148238,4.025867739,4.561334721,8.875700283,5.55728433,6.574913442,11.67547465,5.257501946,0.786376222,2.583954458,2.529460858,2.275383848,1.723436709,2.935964329,2.288997315,1.611571964,
Belarus,BLR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040886966,0.108066415,0.070317874,0.105205671,0.708145155,2.488602326,1.334908698,3.657787508,0.932726195,0.775405865,1.693054218,0.963791291,0.707816603,1.014892645,0.966132029,3.991761783,3.600682329,3.81328624,2.435056533,6.480801966,2.228206919,2.973864618,2.362529221,2.926769593,2.630190222,
Belize,BLZ,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,13.31867267,5.641194645,,,,,,,1.467351431,-0.032938076,,-1.036806636,,,-1.754385965,1.769065264,2.018872065,2.476948111,4.445855827,5.13561889,4.164144777,3.058098818,3.010193557,1.643273096,2.645973573,3.394392625,2.585035668,1.82710344,2.56171167,7.312219803,3.553134335,7.016590596,2.730269301,-1.103093902,10.53992916,11.38986695,8.938927374,10.87685034,12.39699924,8.140880079,6.903510741,6.413381069,12.3410711,5.716514626,8.268221497,3.392692491,1.880041985,
Bermuda,BMU,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.183158775,3.280366226,1.819859206,1.922292821,1.135720502,0.137152332,0.308131446,18.54303395,0.897674182,-1.628465661,10.46901725,2.807392192,-1.218450076,3.876992081,-4.645588668,0.859842473,0.985053866,,,,
Bolivia,BOL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.943034757,0.173443983,1.288549492,0.364206861,2.106082734,2.561527848,-0.29647698,-0.037181214,0.305995851,1.515376455,2.005515015,2.527324178,1.094006162,0.239734908,0.210714626,0.353338661,0.505129656,1.559353299,-0.219679089,-0.517389935,0.558798938,0.973186046,1.649570505,2.158796554,2.176804369,5.847909232,6.409384035,9.218144108,11.17146109,12.1966294,8.768250434,8.668583324,8.557893431,2.442354474,0.74577261,-2.498880031,2.451682367,2.791842799,3.072601838,2.43967815,3.165443564,3.584442147,3.913550138,5.706622111,1.989824858,1.680727879,0.982864031,
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,1.052466706,1.018483208,1.040464686,0.998999547,1.075256922,0.813106376,0.956135069,1.03307874,0.791423642,0.762592174,0.64635416,0.128665462,0.397505323,0.848675006,0.26574541,0.214091608,0.182961218,0.514479246,0.295112882,0.550427157,0.618473935,1.316987282,2.224865533,3.694817135,4.76752255,5.034124781,4.152125154,3.265318266,1.813119994,2.716382748,1.733901071,1.749493281,3.190894769,2.990663373,1.888456026,4.004401044,3.866591105,3.513179493,2.818096604,3.956650177,4.142596125,4.351844491,
Barbados,BRB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.553546136,0.368689341,0.740683787,0.459390597,0.601962953,0.519458732,0.551438672,0.580552327,0.547929135,0.576013585,0.621496076,0.595190349,0.548965169,1.778707422,-0.344302645,6.113498983,8.059256281,9.985179927,10.02838721,10.33266662,14.99058925,8.316746548,9.388754675,-0.175254852,12.13755184,1.515857155,5.040616731,
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08362189,3.930498376,1.888281555,1.438021789,1.836754981,0.765769354,2.103544653,1.543688044,3.033690978,3.507036879,3.730949184,4.540545087,4.286776224,3.321314483,1.324701748,-1.320545566,
Bhutan,BTN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533711778,0.239956002,3.99E-06,4.25E-06,3.69E-06,0.016498739,0.442448705,-0.191275383,,0.250640813,,,0.451617409,0.541827181,1.260870109,0.758470922,0.682019287,6.174757611,0.249854583,1.446893743,4.747733399,1.710882562,1.336885401,1.136253565,1.488686164,0.522926601,0.364986744,
